protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,1,8,0,66,11,0.2430245263538287
0,1,8,0,66,12,0.29240803244455527
0,1,8,0,66,13,0.2235708486228753
0,1,8,0,66,14,0.2603519848473088
0,1,8,0,66,15,0.25590338188661604
0,1,8,0,66,16,0.27140928559414323
0,1,8,0,66,17,0.22950743318526443
0,1,8,0,66,18,0.26701867881667674
0,1,8,0,66,19,0.3162193860221022
0,1,8,0,66,20,0.3341017977790153
0,1,8,0,66,21,0.30205233717504454
0,1,8,0,66,22,0.16295968240716438
0,1,8,0,66,23,0.2688282559532712
0,1,8,0,66,24,0.38370675310498226
0,1,8,0,66,25,0.3559884217793749
0,1,8,0,66,26,0.3049150750273985
0,1,8,0,66,27,0.3513287522049917
0,1,8,0,66,28,0.3915605758628581
0,1,8,0,66,29,0.3970886793663528
0,1,8,0,66,30,0.3358126391021903
0,1,8,0,66,31,0.3969111447035436
0,1,8,0,66,32,0.3408540211789897
0,1,8,0,66,33,0.3358029114165331
0,1,8,0,66,34,0.3154568793761971
0,1,8,0,66,35,0.3510448776029649
0,1,8,0,66,36,0.3409088780957505
0,1,8,0,66,37,0.3408969502936323
0,1,8,0,66,38,0.3307153039081542
0,1,8,0,66,39,0.37142727143252763
0,1,8,0,66,40,0.315456559727825
0,1,8,0,66,41,0.2951000910682521
0,1,8,0,66,42,0.31036451784937585
0,1,8,0,66,43,0.3358018706275754
0,1,8,0,66,44,0.3816125050410396
0,1,8,0,66,45,0.42229417753695314
0,1,8,0,66,46,0.3154316291504902
0,1,8,0,66,47,0.3205644403291851
0,1,8,0,66,48,0.2798318232397352
0,1,8,0,66,49,0.3307281960657492
0,1,8,0,66,50,0.36632564522479333
0,1,8,0,66,51,0.4526137413346763
0,1,8,0,66,52,0.4581466760496957
0,1,8,0,66,53,0.46808561464341986
0,1,8,0,66,54,0.41212175492029063
0,1,8,0,66,55,0.4121398594950164
0,1,8,0,66,56,0.3510540418615963
0,1,8,0,66,57,0.3917673079080797
0,1,8,0,66,58,0.41721425347458835
0,1,8,0,66,59,0.43757490559736506
0,1,8,0,66,60,0.40707004866409735
0,1,8,0,67,0,0.021724087377878013
0,1,8,0,67,1,0.013822731227550802
0,1,8,0,67,2,0.006638482243794492
0,1,8,0,67,3,0.027768599235735034
0,1,8,0,67,4,0.03498315267211789
0,1,8,0,67,5,0.04826157608362727
0,1,8,0,67,6,0.05772835619466184
0,1,8,0,67,7,0.07561226506504853
0,1,8,0,67,8,0.09501345445799779
0,1,8,0,67,9,0.09805699645580845
0,1,8,0,67,10,0.1136938873298102
0,1,8,0,67,11,0.1375918931019123
0,1,8,0,67,12,0.17026488380732038
0,1,8,0,67,13,0.1856379330912115
0,1,8,0,67,14,0.20037286717651823
0,1,8,0,67,15,0.22176242032359025
0,1,8,0,67,16,0.21731702619831794
0,1,8,0,67,17,0.23874927619524589
0,1,8,0,67,18,0.2633732984539266
0,1,8,0,67,19,0.2718021575053156
0,1,8,0,67,20,0.25293321683093944
0,1,8,0,67,21,0.2843965205443634
0,1,8,0,67,22,0.29432192539466423
0,1,8,0,67,23,0.283354179359518
0,1,8,0,67,24,0.28701978580604076
0,1,8,0,67,25,0.2972132349706613
0,1,8,0,67,26,0.2881481681093361
0,1,8,0,67,27,0.2919991266188964
0,1,8,0,67,28,0.2747277978699491
0,1,8,0,67,29,0.2751279601727469
0,1,8,0,67,30,0.28647142812155973
0,1,8,0,67,31,0.2727302985140613
0,1,8,0,67,32,0.28345193479469166
0,1,8,0,67,33,0.2680167357306323
0,1,8,0,67,34,0.2947303541873233
0,1,8,0,67,35,0.2593459814057541
0,1,8,0,67,36,0.27948850937212644
0,1,8,0,67,37,0.27916298119786637
0,1,8,0,67,38,0.2900127461871217
0,1,8,0,67,39,0.2638436939796007
0,1,8,0,67,40,0.25915604221944466
0,1,8,0,67,41,0.2896879135352401
0,1,8,0,67,42,0.2792052815700663
0,1,8,0,67,43,0.23894268856021472
0,1,8,0,67,44,0.21345459191286995
0,1,8,0,67,45,0.2539939391690788
0,1,8,0,67,46,0.27968626678606423
0,1,8,0,67,47,0.2747527659083007
0,1,8,0,67,48,0.2849194028573015
0,1,8,0,67,49,0.2747634766800447
0,1,8,0,67,50,0.27474341513746897
0,1,8,0,67,51,0.24931169935284078
