protocol,num_tcp_conn,seq_num,anonymized_mCid,radio_type,throughput_mbps,nrStatus,primitive_handoff_type
0,8,78,5,1,0.8459119496855346,0,3
0,8,79,5,1,0.7914046121593292,0,3
0,8,80,5,1,0.6708595387840671,0,3
0,8,81,5,1,0.48322851153039836,0,3
0,8,82,5,1,0.5607966457023061,0,3
0,8,83,5,1,0.12054507337526206,0,3
0,8,84,5,1,0.0549266247379455,0,3
0,8,85,5,1,0.2641509433962264,0,3
0,8,86,5,1,0.4067085953878407,0,3
0,8,87,5,1,0.4067085953878407,0,3
0,8,88,5,1,0.4067085953878407,0,3
0,8,89,5,1,0.46121593291404617,0,3
0,8,90,5,1,0.48322851153039836,0,3
0,8,91,5,1,0.4727463312368973,0,3
0,8,92,5,1,0.5052410901467506,0,3
0,8,93,5,1,0.4727463312368973,0,3
0,8,94,5,1,0.5052410901467506,0,3
0,8,95,5,1,0.549266247379455,0,3
0,8,96,5,1,0.5272536687631028,0,3
0,8,97,5,1,0.5607966457023061,0,3
0,8,98,5,1,0.5272536687631028,0,3
0,8,99,5,1,0.5387840670859539,0,3
0,8,100,5,1,0.5607966457023061,0,3
0,8,101,5,1,0.5052410901467506,0,3
0,8,102,5,1,0.6153039832285115,0,3
0,8,103,5,1,0.6488469601677149,0,3
0,8,104,5,1,0.6708595387840671,0,3
0,8,105,5,1,0.7148846960167715,0,3
0,8,106,5,1,0.6593291404612159,0,3
0,8,107,5,1,0.6928721174004193,0,3
0,8,108,5,1,0.6268343815513627,0,3
0,8,109,5,1,0.7033542976939203,0,3
0,8,110,5,1,0.6813417190775681,0,3
0,8,111,5,1,0.6708595387840671,0,3
0,8,112,5,1,0.7253668763102725,0,3
0,8,113,5,1,0.6928721174004193,0,3
0,8,114,5,1,0.7253668763102725,0,3
0,8,115,5,1,0.7473794549266248,0,3
0,8,116,5,1,0.5607966457023061,0,3
0,8,117,5,1,0.6593291404612159,0,3
0,8,118,5,1,0.6593291404612159,0,3
0,8,119,5,1,0.7914046121593292,0,3
0,8,120,5,1,0.769392033542977,0,3
0,8,121,5,1,0.8354297693920336,0,3
0,8,122,5,0,0.8679245283018868,1,0
0,8,123,9,0,0.9119496855345912,1,2
0,8,124,4,0,0.0,1,2
0,8,125,4,0,0.0,1,3
0,8,126,4,1,0.16457023060796647,0,1
0,8,127,4,1,0.04392033542976939,0,3
0,8,128,4,1,0.2966457023060797,0,3
0,8,129,4,1,0.6268343815513627,0,3
0,8,130,4,1,0.7253668763102725,0,3
0,8,131,4,1,0.7148846960167715,0,3
0,8,132,4,1,0.879454926624738,0,3
0,8,133,4,1,0.7473794549266248,0,3
0,8,134,4,1,0.8459119496855346,0,3
0,8,135,4,1,0.8238993710691824,0,3
0,8,136,4,1,0.879454926624738,0,3
0,8,137,4,1,0.889937106918239,0,3
0,8,138,4,1,0.889937106918239,0,3
0,8,139,4,1,0.7914046121593292,0,3
0,8,140,4,1,0.7589098532494759,0,3
0,8,141,4,1,0.8574423480083858,0,3
0,8,142,4,1,0.8679245283018868,0,3
0,8,143,4,1,0.7253668763102725,0,3
0,8,144,4,1,0.8574423480083858,0,3
0,8,145,4,1,0.8134171907756814,0,3
0,8,146,4,1,0.7473794549266248,0,3
0,8,147,4,1,0.8018867924528302,0,3
0,8,148,4,1,0.9234800838574424,0,3
0,8,149,4,1,0.9119496855345912,0,3
0,8,150,4,1,0.9014675052410902,0,3
0,8,151,4,1,0.889937106918239,0,3
0,8,152,4,0,1.0,1,0
0,8,153,4,0,0.8354297693920336,1,3
0,8,154,6,0,0.31865828092243187,1,2
0,8,155,6,0,0.0,1,3
0,8,156,6,0,0.04402515723270441,1,3
0,8,157,6,1,0.22012578616352202,0,1
0,8,158,6,1,0.04392033542976939,0,3
0,8,159,6,1,0.0549266247379455,0,3
0,8,160,6,1,0.33018867924528306,0,3
0,8,161,6,1,0.46121593291404617,0,3
0,8,162,6,1,0.5828092243186583,0,3
0,8,163,6,1,0.48322851153039836,0,3
0,8,164,6,1,0.5052410901467506,0,3
0,8,165,6,1,0.5272536687631028,0,3
0,8,166,6,1,0.48322851153039836,0,3
0,8,167,6,1,0.4727463312368973,0,3
0,8,168,6,1,0.46121593291404617,0,3
0,8,169,6,1,0.43920335429769397,0,3
0,8,170,6,1,0.4287211740041929,0,3
0,8,171,6,1,0.5167714884696017,0,3
0,8,172,6,1,0.48322851153039836,0,3
0,8,173,6,1,0.5387840670859539,0,3
0,8,174,6,1,0.4947589098532495,0,3
0,8,175,6,1,0.3951781970649895,0,3
0,8,176,6,0,0.35220125786163525,1,0
0,8,177,7,0,0.34067085953878407,1,2
0,8,178,7,1,0.1320754716981132,0,1
0,8,179,7,1,0.07704402515723272,0,3
0,8,180,7,1,0.08784067085953878,0,3
0,8,181,7,1,0.04402515723270441,0,3
0,8,182,7,1,0.23060796645702308,0,3
0,8,183,7,1,0.2526205450733753,0,3
0,8,184,7,1,0.2966457023060797,0,3
0,8,185,7,1,0.23060796645702308,0,3
0,8,186,7,1,0.24213836477987422,0,3
0,8,187,7,1,0.15408805031446543,0,3
0,8,188,7,0,0.0,1,0
0,8,189,7,0,0.04402515723270441,1,3
0,8,190,7,0,0.0549266247379455,1,3
0,8,191,7,1,0.09895178197064991,0,1
0,8,192,7,1,0.09895178197064991,0,3
0,8,193,7,1,0.011006289308176102,0,3
0,8,194,7,1,0.07704402515723272,0,3
0,8,195,7,1,0.12054507337526206,0,3
0,8,196,7,1,0.1320754716981132,0,3
0,8,197,7,1,0.12054507337526206,0,3
0,8,198,7,1,0.12054507337526206,0,3
0,8,199,7,1,0.14255765199161427,0,3
0,8,200,7,1,0.1320754716981132,0,3
0,8,201,7,1,0.16457023060796647,0,3
0,8,202,7,1,0.16457023060796647,0,3
0,8,203,7,1,0.20859538784067086,0,3
0,8,204,7,1,0.2861635220125786,0,3
0,8,205,7,1,0.37421383647798745,0,3
0,8,206,7,0,0.4507337526205451,1,0
0,8,207,7,0,0.5052410901467506,1,3
0,8,208,7,0,0.2746331236897275,1,3
0,8,209,7,0,0.022012578616352203,1,3
0,8,210,7,1,0.0549266247379455,0,1
0,8,211,7,1,0.011006289308176102,0,3
0,8,212,7,1,0.011006289308176102,0,3
0,8,213,7,1,0.09895178197064991,0,3
0,8,214,7,1,0.35220125786163525,0,3
0,8,215,7,1,0.5387840670859539,0,0
0,8,216,2,0,0.7578616352201258,1,2
0,8,217,2,0,0.769392033542977,1,3
0,8,218,2,1,0.04392033542976939,0,1
0,8,219,2,1,0.09905660377358491,0,3
0,8,220,2,1,0.0549266247379455,0,3
0,8,221,2,1,0.22012578616352202,0,3
0,8,222,2,1,0.5272536687631028,0,3
0,8,223,2,1,0.46121593291404617,0,3
0,8,224,2,1,0.34067085953878407,0,3
0,8,225,2,1,0.5167714884696017,0,3
0,8,226,2,1,0.5052410901467506,0,3
0,8,227,2,1,0.4507337526205451,0,3
0,8,228,2,0,0.20859538784067086,1,0
0,8,229,2,0,0.2966457023060797,1,3
0,8,230,2,0,0.0549266247379455,1,3
0,8,231,2,0,0.14255765199161427,1,3
0,8,232,2,0,0.19811320754716982,1,3
0,8,233,2,0,0.22012578616352202,1,3
0,8,234,2,0,0.19811320754716982,1,3
0,8,235,2,0,0.22012578616352202,1,3
0,8,236,2,0,0.19811320754716982,1,3
0,8,237,2,0,0.18658280922431866,1,3
0,8,238,2,0,0.19811320754716982,1,3
0,8,239,2,0,0.18658280922431866,1,3
0,8,240,2,0,0.17610062893081763,1,3
0,8,241,2,0,0.16457023060796647,1,3
0,8,242,2,0,0.15408805031446543,1,3
0,8,243,2,0,0.16457023060796647,1,3
0,8,244,2,0,0.14255765199161427,1,3
0,8,245,2,0,0.11006289308176101,1,3
0,8,246,2,0,0.12054507337526206,1,3
0,8,247,2,0,0.08794549266247381,1,3
